Wall time,Step,Value
1710778121.7204523,6859,1.4469002485275269
1710778143.3954031,6875,1.4534934759140015
1710778199.6044867,6916,1.288203477859497
1710778203.7364273,6919,1.308671474456787
1710778218.7644997,6930,1.4556543827056885
1710778280.5467136,6975,1.4275745153427124
1710778302.6099074,6991,1.4044969081878662
1710778309.4985461,6996,1.4336520433425903
1710778312.2630963,6998,1.2138630151748657
1710778339.7852614,7018,1.5062175989151
1710778354.8908067,7029,1.3614743947982788
1710778389.2435951,7054,1.3388807773590088
1710778475.5761135,7117,1.519067406654358
1710778479.6436574,7120,1.252105474472046
1710778487.7683442,7126,1.3915656805038452
1710778539.4126647,7164,1.333437442779541
1710778558.719365,7178,1.5243464708328247
1710778561.4227147,7180,1.4848692417144775
1710778597.91802,7207,1.3462066650390625
1710778622.3805737,7225,1.3665069341659546
1710778660.5169625,7253,1.458396553993225
1710778689.2190907,7274,1.412131428718567
1710778735.3669848,7308,1.379755973815918
1710778770.70316,7334,1.3090107440948486
1710778776.1571655,7338,1.3117806911468506
1710778796.6597345,7353,1.3856518268585205
1710778815.9140396,7367,1.3120160102844238
1710778893.7747078,7424,1.4902889728546143
1710778908.7632055,7435,1.465427041053772
1710778910.1076424,7436,1.4726547002792358
1710778948.801216,7464,1.4726155996322632
1710778954.2397926,7468,1.472625494003296
1710778956.9429686,7470,1.4775025844573975
1710778973.2028825,7482,1.2617441415786743
1710779006.1436474,7506,1.4983731508255005
1710779022.6950731,7518,1.5251843929290771
1710779033.7873769,7526,1.4042327404022217
1710779042.1034212,7532,1.208310604095459
1710779057.3289576,7543,1.4652011394500732
1710779068.5352607,7551,1.3545756340026855
1710779071.3323169,7553,1.3588873147964478
1710779125.9467418,7593,1.496847152709961
1710779138.148774,7602,1.4946541786193848
1710779140.9259145,7604,1.2606858015060425
1710779145.081185,7607,1.3055179119110107
1710779187.7298524,7638,1.453519582748413
1710779196.0393841,7644,1.4721392393112183
1710779217.9119117,7660,1.3808249235153198
1710779309.6685693,7727,1.5419219732284546
1710779313.8001797,7730,1.5159735679626465
1710779349.62327,7756,1.5091757774353027
1710779401.4189494,7794,1.5121673345565796
1710779402.7917798,7795,1.540452003479004
1710779438.0257223,7821,1.4061311483383179
1710779461.5448208,7838,1.436028003692627
1710779467.1137311,7842,1.504327416419983
1710779478.0640337,7850,1.4560028314590454
1710779485.0653615,7855,1.432391881942749
1710779486.4002004,7856,1.5368611812591553
1710779494.6657157,7862,1.4614285230636597
1710779539.6846526,7895,1.4419227838516235
1710779547.8501139,7901,1.5134015083312988
1710779582.3763814,7926,1.49728524684906
1710779586.5153086,7929,1.4820373058319092
1710779665.517972,7986,1.3248605728149414
